time,Day,Year,Month,Date,hour,min,sec,timezone,latitude,longitude,speed,truck,svr1,svr2,svr3,svr4,Role,Transfer size,Transfer unit,Bitrate,bitrate_unit,Retransmissions,CWnd,cwnd_unit,Role-RX,Transfer size-RX,Transfer unit-RX,Bitrate-RX,bitrate_unit-RX,send_data,square_id
1657049469,,,,,,,,,,,,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,
1657049470,Wed,2022.0,7.0,6.0,5.0,31.0,10.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
1657049470,Wed,2022.0,7.0,6.0,5.0,31.0,10.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
1657049471,Wed,2022.0,7.0,6.0,5.0,31.0,11.0,AEST,99.0,999.0,-1.0,garbo07,,,,,,,,,,,,,,,,,,0.0,
1657049472,Wed,2022.0,7.0,6.0,5.0,31.0,12.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
1657049473,Wed,2022.0,7.0,6.0,5.0,31.0,13.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
1657049474,Wed,2022.0,7.0,6.0,5.0,31.0,14.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
1657049475,Wed,2022.0,7.0,6.0,5.0,31.0,15.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
1657049476,Wed,2022.0,7.0,6.0,5.0,31.0,16.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
1657049477,Wed,2022.0,7.0,6.0,5.0,31.0,17.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
1657049478,Wed,2022.0,7.0,6.0,5.0,31.0,18.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
1657049479,Wed,2022.0,7.0,6.0,5.0,31.0,19.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
1657049480,Wed,2022.0,7.0,6.0,5.0,31.0,20.0,AEST,99.0,999.0,-1.0,garbo07,,,,,,,,,,,,,,,,,,0.0,
1657049481,Wed,2022.0,7.0,6.0,5.0,31.0,21.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
1657049482,Wed,2022.0,7.0,6.0,5.0,31.0,22.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
1657049483,Wed,2022.0,7.0,6.0,5.0,31.0,23.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0,
